State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.23199	2.11714	2.19754	2.24731	2.34302	2.40810	2.58038	2.59187	2.76798	2.75649	2.67993	2.81009	2.79861	2.57656	2.53444	2.56890	2.46936	2.39662	2.27794	2.41576	2.43107
2	1.37839	1.43732	1.43589	1.38127	1.47038	1.53362	1.50488	1.46032	1.46319	1.45888	1.47038	1.49625	1.48907	1.49625	1.54081	1.55662	1.60836	1.61699	1.65005	1.70466	1.69892
3	2.89322	2.77605	2.70395	2.63635	2.60030	2.61832	2.69493	2.76704	2.61832	2.42003	2.16766	2.18118	2.09105	2.04148	2.09556	2.19470	2.11359	2.15414	2.25780	2.15414	2.36145
4	1.80747	1.82474	1.83625	1.79020	1.80747	1.93986	1.95138	2.10680	2.15860	2.24495	2.38310	2.43490	2.45793	2.48095	2.30826	2.24495	2.31402	2.19314	2.25070	2.18163	2.24495
5	3.99823	3.95321	3.87136	3.83453	3.70358	3.47850	3.32299	3.15111	3.05289	2.90148	2.82781	2.79098	2.85237	2.85646	2.97923	2.95877	3.08154	3.12656	2.97514	2.98742	2.99560
6	2.10263	2.04194	2.05265	2.09549	2.06336	2.13832	2.10263	2.18473	2.14189	2.08478	2.00624	1.89915	1.78491	1.81704	1.75992	1.65283	1.67425	1.67425	1.81347	1.76349	1.68496
7	1.02090	0.99980	0.96409	0.92514	0.94299	0.89268	0.88781	0.85535	0.85535	0.84561	0.83587	0.81153	0.80016	0.77420	0.73849	0.75310	0.73524	0.70440	0.69954	0.71901	0.74173
8	3.16299	3.17310	3.17352	3.17057	3.15203	3.13433	3.11031	3.08672	3.04795	3.01086	2.97420	2.91184	2.85073	2.81323	2.75086	2.68344	2.61770	2.56334	2.50098	2.43692	2.37203
9	0.65171	0.65301	0.65499	0.65863	0.65944	0.66052	0.66250	0.66659	0.67009	0.67800	0.68457	0.69104	0.69904	0.70659	0.71382	0.72102	0.72740	0.73508	0.74138	0.74650	0.75140
10	1.28067	1.28067	1.27258	1.26921	1.25168	1.24831	1.26179	1.25438	1.27190	1.27595	1.29684	1.29280	1.30291	1.29415	1.28943	1.28606	1.27595	1.26988	1.25910	1.25775	1.25370
