State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.32462	2.33138	2.20974	2.06783	2.04080	1.95971	1.98336	1.64210	1.37855	1.84483	1.86510	0.97985	0.84470	0.81767	0.83794	1.00688	1.30760	1.55763	1.74009	1.91240	2.03742
2	2.82750	3.12053	3.55689	3.97550	4.32180	4.59453	4.28882	3.41482	2.56873	2.38606	2.28712	1.75435	1.77084	1.89769	1.95731	2.16027	2.36703	2.36196	2.37845	2.26175	2.08923
3	4.15625	4.60966	5.60796	7.11932	9.58126	12.77103	16.98695	20.64206	22.02218	23.50570	22.54718	17.91763	16.02047	14.47331	13.28808	11.58581	9.35455	7.48126	5.72728	4.61364	4.00114
4	2.77886	2.87031	3.21576	3.67806	4.16576	4.72458	5.43073	6.76682	7.30024	5.36976	3.40881	2.96175	2.55026	2.23020	1.98127	1.75775	1.69170	1.60026	1.56470	1.43769	1.45802
5	5.72816	6.70693	7.95658	10.02969	12.90460	16.58132	20.91897	25.67558	30.73918	32.61726	35.84974	42.98645	43.59683	42.26411	38.74271	32.72200	25.83088	19.91853	15.76868	12.69151	10.45948
6	5.59221	5.87891	5.93877	5.53866	4.74157	3.56642	2.29360	1.61938	1.28227	1.26967	1.48706	1.22556	1.35788	1.93758	3.94763	7.66842	11.95316	14.81701	16.26311	16.46159	16.06462
7	1.45248	1.29777	1.09007	0.91245	0.73054	0.59446	0.51997	0.45265	0.42829	0.44119	0.41111	0.42400	0.44692	0.46983	0.51997	0.64316	0.91675	1.47253	2.04550	2.69009	3.22438
8	0.73599	0.68430	0.62889	0.58835	0.53665	0.49165	0.44814	0.42211	0.40314	0.39607	0.39422	0.39979	0.40351	0.42546	0.43922	0.45484	0.47827	0.52884	0.59244	0.68579	0.79698
9	0.67580	0.65438	0.62507	0.58719	0.54153	0.48802	0.43613	0.39671	0.37445	0.36350	0.35926	0.36156	0.36795	0.37778	0.39012	0.40551	0.42201	0.44185	0.45823	0.47497	0.48822
10	2.67988	2.71558	2.73996	2.72926	2.66620	2.55734	2.38780	2.15937	1.93749	1.80840	1.72988	1.70549	1.81673	1.94879	2.09632	2.23433	2.35330	2.42647	2.47822	2.48536	2.47763
