State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.91332	1.15880	2.37909	1.62814	2.68021	1.86516	1.62515	0.39241
2	2.43274	1.99544	1.31209	1.05244	1.47054	2.28719	2.84621	0.67434
3	0.77589	28.54292	4.11267	1.12014	2.16789	22.54787	11.70525	0.53004
4	0.60745	2.63870	1.78577	1.15993	2.38335	3.40891	3.31919	0.46462
5	0.85443	36.99156	6.43454	1.86808	2.82811	35.84723	20.12091	0.22484
6	0.97950	0.73794	1.90833	2.20989	2.00645	1.48710	5.31571	0.23917
7	2.15435	0.25391	1.02249	2.24237	0.83434	0.41112	0.95926	0.20861
8	8.29775	0.46761	3.47148	2.13851	2.97367	0.39423	0.56444	0.32390
9	77.79697	0.24518	0.58827	0.80360	0.68464	0.35927	0.50094	1.13804
10	5.18761	2.79652	1.19873	1.06497	1.29698	1.72993	2.38508	1.00392
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
