State (Emission order)	H3k27me3	H2az	H3k4me2	H3k04me3	H3k9ac	H3k27ac	H3k04me1	H3k9me3	H3k36me3	H3k79me2
1	0.01719057490486728	0.05549081496564637	0.11487230595868728	0.2074480385266076	0.032193900231986004	0.28151384737922003	0.7911057513056445	0.06440555601920926	0.11556003565392946	0.08278204409015412
2	0.007969300436313595	0.1282874420281678	0.04440852473216751	0.04826480711880124	0.004686843214409701	0.01058505834549859	0.5141805410646529	0.014084032395100799	0.001524568852777446	0.0031978836759098384
3	0.060600284241459274	0.5705717757469617	0.7549877483004921	0.7884897835011906	0.2193983896058854	0.10511050041521267	0.6797542792841194	0.01024609619932418	0.0011731372820500067	0.0202686985403867
4	0.001204046446015054	0.5687953844228336	0.8263469622686356	0.8615574599583044	0.5181249814509331	0.9465140830429009	0.934146501543396	0.016807667567017546	0.017363828565424295	0.09136901376179977
5	0.002878351959562639	0.5830379299389443	0.8830861477471285	0.9847712595872762	0.9714305581150926	0.9062668482257831	0.3799889536011531	0.01050266878245391	0.028222068364368275	0.8184873277559412
6	9.847921274607635E-4	0.036617801384076776	0.5957220134498984	0.7853283924462057	0.1661534030170849	0.33244663185152507	0.7416017503967847	0.023313537685444943	0.1502089355374948	0.9341121977354326
7	9.638374719359139E-4	0.002602333355551756	0.01634880291897521	0.04075681999042953	0.0024536686677902016	0.009682089385894337	0.1722192880998087	0.029289182253699694	0.12471936683295239	0.6440100693010995
8	6.209762584178717E-4	6.644780825251613E-4	3.1980730440336224E-4	0.0018353658788833756	6.88452657490737E-4	0.001437686289779098	0.010518613925127658	0.015532879713529476	0.17167084877504485	0.017966091765668168
9	0.002415335810691882	0.0019328548149020368	4.7201258296827785E-5	1.615459698476183E-4	2.3302794763078186E-4	4.004700351615225E-4	0.0010988363440764144	0.0037038289215621982	7.736564726314436E-4	6.377344926304864E-5
10	0.09465512807907413	0.0025307523729918616	0.0016881320081615957	0.0010784466251590596	6.737308666791099E-4	0.0059811996227206645	0.005719527782351084	0.004525244922255597	3.9948615090525016E-4	5.559847163281415E-5
