State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7286762008202812	0.053358881071245104	8.1355184850465E-4	0.08674860101963615	0.005779827575719727	0.013484632690425952	0.007137703955113864	0.09695438837481049	0.00704621264426275	0.0
2	0.018681925405335087	0.7154594263428047	0.05843009364133761	0.008516758573736826	0.0012399776340666815	0.0	3.861495018669055E-6	0.004014915643273788	0.16974979397906842	0.023903247285358264
3	6.127890244271578E-4	0.20959401331424085	0.676090887185177	0.026880573750099748	0.03946811045792611	0.0010912363448665407	1.2589636344809046E-4	6.772178829528248E-4	0.011779000405325937	0.033680275271535866
4	0.13666156461027693	0.03935691042196926	0.03398083978630243	0.7705307961786195	0.015914883313746297	0.0035550056890857316	0.0	0.0	0.0	0.0
5	0.006973136183481119	0.003249616227402547	0.03553324357389117	0.011619037493506405	0.8702121113138152	0.07165364308037443	4.16422288557939E-4	0.0	3.42789838971255E-4	0.0
6	0.013016908844774088	0.0	8.527946845889501E-4	0.0020245000445386525	0.06078118200371904	0.8051343979167699	0.11712429232978945	3.623689351846031E-4	7.035552406352764E-4	0.0
7	0.0032288562615776077	0.0	8.094770868153015E-5	0.0	2.4082693603119746E-4	0.05268276239858579	0.9115792814537944	0.032160505015068494	0.0	2.6820226261123224E-5
8	0.011185288652968587	0.001349397879192453	4.0005817465880314E-5	0.0	2.4996551183762178E-5	5.1782327969085036E-5	0.008283050598899971	0.9737895976792621	0.00527588049305805	0.0
9	8.629448528761638E-5	0.006210970170874024	1.4987459428507138E-4	0.0	0.0	7.33476510161997E-6	0.0	5.669000084482465E-4	0.990721713573522	0.0022569124024814156
10	0.0	0.010145804792551307	0.003982107264190286	0.0	0.0	9.266226645486759E-6	3.039686167419496E-6	0.0	0.02602742609443865	0.9598323559360069
